id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,license,,,,,,
208147,"Casa do Ciríaco, Casa Rural, Portugal",1024383,David,VILA DO CONDE,Fornelo e Vairão,41.326347,-8.660382,Private room,40,4,61,2024-12-06,0.53,1,117,Exempt,,,,,,
241573,class & confort downtown / poss parking,1266562,Lovely,PORTO,Bonfim,41.14687,-8.60173,Entire home/apt,94,2,224,2024-02-04,1.4,17,320,7235/AL,,,,,,
3902889,OX Apartments  - B. Arts III,4656501,Ox,PORTO,Bonfim,41.1463,-8.59903,Entire home/apt,80,1,36,2024-11-06,0.29,4,357,133235/AL,,,,,,
3907554,Charming Vanessa's House,3367367,Vanessa,PORTO,Campanhã,41.16063,-8.59056,Private room,45,1,301,2024-11-16,2.4,1,314,69835/AL.,,,,,,
7918261,BRA.com Bonfim 001,40592098,Bárbara,PORTO,Bonfim,41.14703,-8.59804,Entire home/apt,64,2,11,2019-08-22,0.1,24,357,,,,,,,
8747853,Modern apartment Porto city center,18112547,Bruno,PORTO,Bonfim,41.15178,-8.60277,Entire home/apt,,3,194,2024-11-11,1.75,1,0,31917/AL,,,,,,
15391175,The Real Portuguese Experience,26404869,Mariana,PORTO,Paranhos,41.16628,-8.61208,Entire home/apt,,3,25,2019-08-26,0.25,1,0,,,,,,,
20041901,Near the Airport,142281905,Filipe Alexandre,MAIA,Moreira,41.24015,-8.65089,Private room,60,1,106,2024-10-08,2.96,1,42,,,,,,,
20043230,Single Room in Porto (Antas),142247477,Nuno,PORTO,Campanhã,41.16128,-8.58992,Private room,,1,2,2017-10-03,0.02,4,0,,,,,,,
20047737,Triple Room (Double + bunk bed) in Porto (Antas),142247477,Nuno,PORTO,Campanhã,41.15951,-8.58976,Private room,,1,12,2019-03-24,0.13,4,0,,,,,,,
23023720,Apartamento equipado varanda & AirC centro cidade,429054820,Maria Manuela,PORTO,Bonfim,41.14769,-8.60042,Entire home/apt,65,3,31,2024-09-01,0.4,3,168,52228/al,,,,,,
23504189,Casa Particular de Monsanto 1,119157440,Manuela,PORTO,Paranhos,41.17199,-8.61626,Private room,,2,4,2023-09-18,0.06,3,365,432029,,,,,,
25832595,CM VINTAGE Apartments 3,49819978,Oporto Guest,PORTO,Bonfim,41.15118,-8.60429,Entire home/apt,34,2,22,2024-09-23,0.28,15,362,72848/AL,,,,,,
26524955,36th Street Flat Espinho,199389092,José,ESPINHO,Anta e Guetim,41.00477,-8.63136,Entire home/apt,,3,0,,,1,0,76384/AL,,,,,,
27279579,Alvarelhos -CASA DA COSTA,205494504,Panificadora,TROFA,Alvarelhos e Guidões,41.30956,-8.61929,Entire home/apt,180,2,15,2023-07-06,0.22,2,351,78708/AL,,,,,,
